epoch,sample_point,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct,cuda_mem_util_pct,gpu_temp_c,gpu_power_w,gpu_clock_sm_mhz,gpu_clock_mem_mhz,gpu_fan_pct,gpu_throttled,cpu_pct,ram_used_gb,disk_read_mb_s,disk_write_mb_s,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,nvsmi_vram_used_gb,nvsmi_vram_total_gb,data_wait_s,compute_s
25,summary,0.334674,0.990642,0.319439,0.991766,0.01989053,0.6,,,,,,,,,,,,,69,75.0,81,20,21.5,23,51,54.5,58,116.8,126.1,135.4,2745.0,10801.0,30.0,0,11.7,36.3,60.9,25.85,25.87,25.89,63.16,0.0,0.0,0.0,0.0,6.55,13.11,0.297,0.43,1.414,15.992,0.21,0.27
26,1,,,,,,,81,23,58,116.8,2745,10801,30,0,62.0,25.86,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2,,,,,,,74,21,55,118.8,2760,10801,30,0,13.6,25.86,0.37,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,summary,0.330147,0.992417,0.317867,0.990851,0.01985238,0.6,,,,,,,,,,,,,74,77.5,81,21,22.0,23,55,56.5,58,116.8,117.8,118.8,2752.5,10801.0,30.0,0,13.6,37.8,62.0,25.86,25.86,25.86,63.16,0.0,0.18,0.37,0.0,0.0,0.0,0.297,0.43,1.426,15.992,0.19,0.29
27,1,,,,,,,7,1,48,133.5,2760,10801,30,0,68.2,25.89,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2,,,,,,,7,1,48,133.5,2760,10801,30,0,12.1,25.87,0.0,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,summary,0.330558,0.990642,0.317963,0.991766,0.01980858,0.6,,,,,,,,,,,,,7,7.0,7,1,1.0,1,48,48.0,48,133.5,133.5,133.5,2760.0,10801.0,30.0,0,12.1,40.15,68.2,25.87,25.88,25.89,63.16,0.0,0.01,0.02,0.02,0.62,1.22,0.297,0.43,1.553,15.992,0.2,0.26
28,1,,,,,,,19,4,50,136.3,2760,10801,30,0,63.2,25.86,0.0,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2,,,,,,,77,21,59,132.8,2745,10801,30,0,13.7,25.87,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,summary,0.326899,0.992256,0.307403,0.992681,0.01975917,0.6,,,,,,,,,,,,,19,48.0,77,4,12.5,21,50,54.5,59,132.8,134.55,136.3,2752.5,10801.0,30.0,0,13.7,38.45,63.2,25.86,25.87,25.87,63.16,0.0,0.03,0.05,0.0,0.36,0.72,0.297,0.43,1.554,15.992,0.21,0.29
29,1,,,,,,,77,21,59,132.8,2745,10801,30,0,60.2,25.89,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2,,,,,,,18,5,54,104.5,2760,10801,30,0,13.8,25.89,0.0,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,summary,0.331226,0.990803,0.310470,0.991766,0.01970416,0.5,,,,,,,,,,,,,18,47.5,77,5,13.0,21,54,56.5,59,104.5,118.65,132.8,2752.5,10801.0,30.0,0,13.8,37.0,60.2,25.89,25.89,25.89,63.16,0.0,0.0,0.0,0.0,1.21,2.42,0.297,0.43,1.545,15.992,0.2,0.26
30,1,,,,,,,2,1,48,122.2,2760,10801,30,0,64.6,25.89,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2,,,,,,,2,1,48,122.2,2760,10801,30,0,7.1,25.89,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,summary,0.328587,0.992094,0.309680,0.992681,0.01964360,0.5,,,,,,,,,,,,,2,2.0,2,1,1.0,1,48,48.0,48,122.2,122.2,122.2,2760.0,10801.0,30.0,0,7.1,35.85,64.6,25.89,25.89,25.89,63.16,0.0,0.0,0.0,0.0,0.0,0.0,0.297,0.43,1.544,15.992,0.19,0.26
31,1,,,,,,,9,3,49,134.8,2760,10801,30,0,67.2,25.89,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2,,,,,,,9,3,49,134.8,2760,10801,30,0,12.3,25.89,0.0,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,summary,0.321678,0.993708,0.314468,0.993596,0.01957751,0.5,,,,,,,,,,,,,9,9.0,9,3,3.0,3,49,49.0,49,134.8,134.8,134.8,2760.0,10801.0,30.0,0,12.3,39.75,67.2,25.89,25.89,25.89,63.16,0.0,0.0,0.0,0.0,0.23,0.45,0.297,0.43,1.544,15.992,0.2,0.24
32,1,,,,,,,61,18,52,132.8,2745,10801,30,0,61.7,25.87,0.0,23.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2,,,,,,,79,23,59,121.2,2745,10801,30,0,13.4,25.87,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,summary,0.325355,0.993708,0.312063,0.994511,0.01950593,0.5,,,,,,,,,,,,,61,70.0,79,18,20.5,23,52,55.5,59,121.2,127.0,132.8,2745.0,10801.0,30.0,0,13.4,37.55,61.7,25.87,25.87,25.87,63.16,0.0,0.0,0.0,0.0,11.72,23.44,0.297,0.43,1.544,15.992,0.19,0.26
33,1,,,,,,,79,23,59,121.2,2745,10801,30,0,63.8,25.88,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2,,,,,,,12,5,48,114.2,2760,10801,30,0,13.1,25.88,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,summary,0.325737,0.993546,0.309502,0.993596,0.01942891,0.6,,,,,,,,,,,,,12,45.5,79,5,14.0,23,48,53.5,59,114.2,117.7,121.2,2752.5,10801.0,30.0,0,13.1,38.45,63.8,25.88,25.88,25.88,63.16,0.0,0.0,0.0,0.0,0.0,0.0,0.297,0.43,1.544,15.992,0.2,0.26
34,1,,,,,,,3,1,48,126.2,2760,10801,30,0,61.7,25.89,0.0,23.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2,,,,,,,3,1,48,126.2,2760,10801,30,0,11.9,25.88,0.0,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,summary,0.323577,0.993224,0.324843,0.989936,0.01934649,0.6,,,,,,,,,,,,,3,3.0,3,1,1.0,1,48,48.0,48,126.2,126.2,126.2,2760.0,10801.0,30.0,0,11.9,36.8,61.7,25.88,25.88,25.89,63.16,0.0,0.0,0.0,0.41,11.94,23.46,0.297,0.43,1.544,15.992,0.21,0.27
35,1,,,,,,,27,7,50,137.9,2760,10801,30,0,65.5,25.87,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2,,,,,,,27,7,50,137.9,2760,10801,30,0,11.5,25.86,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,summary,0.327064,0.992256,0.306208,0.996340,0.01925871,0.5,,,,,,,,,,,,,27,27.0,27,7,7.0,7,50,50.0,50,137.9,137.9,137.9,2760.0,10801.0,30.0,0,11.5,38.5,65.5,25.86,25.87,25.87,63.16,0.0,0.0,0.0,0.0,0.0,0.0,0.297,0.43,1.523,15.992,0.19,0.24
36,1,,,,,,,76,22,56,127.0,2745,10801,30,0,61.2,25.88,3.55,26.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2,,,,,,,45,12,56,112.7,2760,10801,30,0,16.7,25.89,0.93,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,summary,0.322072,0.993385,0.316040,0.992681,0.01916562,0.6,,,,,,,,,,,,,45,60.5,76,12,17.0,22,56,56.0,56,112.7,119.85,127.0,2752.5,10801.0,30.0,0,16.7,38.95,61.2,25.88,25.88,25.89,63.16,0.93,2.24,3.55,0.46,13.3,26.15,0.297,0.43,1.564,15.992,0.19,0.28
37,1,,,,,,,45,12,56,112.7,2760,10801,30,0,67.3,25.88,0.28,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2,,,,,,,9,1,48,120.2,2760,10801,30,0,14.5,25.86,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
