epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,data_wait_s,compute_s
57,0.297684,0.949742,0.285502,0.949004,0.00175371,3.5,76,76.0,76,24,24.0,24,49,49.0,49,35.0,35.0,35.0,420.0,5001.0,0.0,0,5.6,17.76,55.0,24.02,24.02,24.02,63.16,0.0,0.0,0.0,0.0,0.07,0.35,1.689,2.59,2.25,0.41
58,0.295262,0.950733,0.290863,0.948033,0.00168736,3.5,3,65.4,81,3,20.6,25,48,48.8,49,38.0,38.5,40.5,702.0,5001.0,0.0,0,6.2,17.2,55.6,24.04,24.04,24.04,63.16,0.0,0.0,0.0,0.0,0.21,0.54,1.689,2.59,2.21,0.49
59,0.294565,0.950415,0.291618,0.947270,0.00162136,3.6,25,32.0,60,10,14.0,30,50,50.2,51,35.5,40.78,61.9,936.0,6161.0,0.0,0,5.5,17.5,56.6,24.02,24.03,24.03,63.16,0.0,0.0,0.0,0.0,0.08,0.39,1.689,2.59,2.3,0.47
60,0.293727,0.951958,0.289648,0.947755,0.00155579,3.5,57,77.8,83,29,29.2,30,49,50.0,54,34.8,41.04,66.0,924.0,6161.0,0.0,0,5.7,17.14,53.7,24.03,24.04,24.04,63.16,0.0,0.0,0.0,0.0,0.09,0.43,1.689,2.59,2.27,0.42
61,0.291142,0.953329,0.292450,0.945882,0.00149071,3.5,3,12.8,52,3,8.2,29,49,50.2,55,34.2,39.08,58.6,900.0,6161.0,0.0,0,5.5,19.74,54.1,24.04,24.05,24.06,63.16,0.0,0.01,0.04,0.0,0.33,0.88,1.689,2.59,2.31,0.44
62,0.295949,0.950733,0.270390,0.954832,0.00143022,3.7,32,40.0,52,10,16.8,27,49,49.8,51,33.0,40.64,52.1,1269.0,7321.0,0.0,0,6.6,16.7,53.6,24.03,24.04,24.04,63.16,0.0,0.0,0.0,0.0,0.13,0.67,1.689,2.59,2.29,0.48
63,0.291330,0.953206,0.395155,0.896829,0.00136632,3.5,2,32.6,53,2,17.6,28,49,49.6,50,31.8,39.78,45.1,1755.0,8481.0,0.0,0,11.5,21.2,56.2,24.05,24.05,24.06,63.16,0.0,0.01,0.05,0.0,0.98,4.3,1.689,2.59,2.21,0.48
64,0.291843,0.953366,0.277774,0.954139,0.00130313,3.4,1,23.0,56,2,13.2,30,49,50.6,53,32.3,39.34,49.9,1332.0,7321.0,0.0,0,6.2,18.48,56.2,24.03,24.04,24.05,63.16,0.0,0.0,0.0,0.0,0.09,0.46,1.689,2.59,2.18,0.44
65,0.288617,0.953794,0.274410,0.953653,0.00124072,3.6,1,36.4,60,2,19.4,31,49,51.4,53,34.6,40.3,44.1,1719.0,8481.0,0.0,0,9.1,22.14,54.7,24.04,24.04,24.05,63.16,0.0,0.01,0.03,0.0,0.12,0.59,1.689,2.59,2.3,0.48
66,0.288210,0.954492,0.310519,0.939638,0.00117916,3.5,3,25.4,59,2,13.2,30,49,50.6,53,32.4,38.96,48.8,1350.0,7321.0,0.0,0,8.8,20.22,57.3,24.05,24.05,24.05,63.16,0.0,0.0,0.0,0.0,0.08,0.39,1.689,2.59,2.23,0.41
67,0.287358,0.954663,0.276041,0.953445,0.00111853,3.5,0,33.6,56,3,19.2,30,49,51.4,53,34.6,39.64,43.0,1719.0,8481.0,0.0,0,5.0,16.82,54.3,24.06,24.06,24.06,63.16,0.0,0.0,0.0,0.0,0.38,1.89,1.689,2.59,2.28,0.47
68,0.287370,0.953929,0.268823,0.956151,0.00105889,3.6,2,77.2,96,2,34.0,42,49,50.6,51,36.4,38.56,39.1,690.0,5001.0,0.0,0,8.1,17.98,52.1,24.05,24.06,24.06,63.16,0.0,0.01,0.03,0.0,0.24,0.69,1.689,2.59,2.26,0.5
69,0.289673,0.953415,0.308818,0.939291,0.00100030,3.6,0,46.4,58,2,22.8,28,49,50.6,51,34.1,35.38,35.7,723.0,5001.0,0.0,0,4.3,18.64,53.5,24.05,24.06,24.07,63.16,0.0,0.0,0.0,0.0,0.1,0.51,1.689,2.59,2.3,0.48
70,0.287838,0.954823,0.278720,0.953375,0.00094284,3.4,4,56.0,69,2,18.8,23,50,50.8,51,37.0,37.22,38.1,510.0,5001.0,0.0,0,6.2,16.88,54.5,24.07,24.07,24.08,63.16,0.0,0.0,0.01,0.0,0.18,0.88,1.689,2.59,2.22,0.43
71,0.288589,0.954737,0.287555,0.948519,0.00088656,3.6,83,83.0,83,28,28.0,28,51,51.0,51,36.2,36.2,36.2,525.0,5001.0,0.0,0,5.0,18.14,53.0,24.09,24.09,24.1,63.16,0.0,0.0,0.0,0.0,0.1,0.48,1.689,2.59,2.29,0.46
72,0.286258,0.955080,0.285632,0.950114,0.00083153,3.5,97,97.0,97,35,35.0,35,51,51.0,51,35.9,35.9,35.9,2565.0,10801.0,0.0,0,3.5,15.32,52.3,24.08,24.08,24.09,63.16,0.0,0.0,0.0,0.0,0.34,0.95,1.689,2.59,2.27,0.39
73,0.286836,0.954872,0.269434,0.955943,0.00077782,3.6,98,98.0,98,32,32.0,32,51,51.0,51,36.1,36.1,36.1,465.0,5001.0,0.0,0,4.1,15.56,52.9,23.96,23.96,23.96,63.16,0.0,0.0,0.0,0.0,0.17,0.45,1.689,2.59,2.27,0.46
74,0.286414,0.954921,0.277561,0.953445,0.00072548,3.5,54,88.4,97,29,32.2,33,51,51.2,52,34.9,40.02,60.5,1092.0,6161.0,0.0,0,5.4,16.06,51.8,23.93,23.94,23.94,63.16,0.0,0.0,0.0,0.0,0.09,0.43,1.689,2.59,2.25,0.46
75,0.287512,0.954590,0.270667,0.956567,0.00067457,3.4,97,97.0,97,33,33.0,33,51,51.0,51,35.9,35.9,35.9,480.0,5001.0,0.0,0,7.1,17.2,52.9,23.93,23.93,23.93,63.16,0.0,0.0,0.01,0.0,0.49,2.05,1.689,2.59,2.24,0.41
76,0.284225,0.956157,0.283077,0.950878,0.00062515,3.4,97,97.0,97,29,29.0,29,51,51.0,51,36.3,36.3,36.3,2565.0,10801.0,0.0,0,3.8,15.38,52.2,23.94,23.94,23.94,63.16,0.0,0.0,0.0,0.0,0.07,0.36,1.689,2.59,2.22,0.42
