epoch,sample_point,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct,cuda_mem_util_pct,gpu_temp_c,gpu_power_w,gpu_clock_sm_mhz,gpu_clock_mem_mhz,gpu_fan_pct,gpu_throttled,cpu_pct,ram_used_gb,disk_read_mb_s,disk_write_mb_s,nvsmi_vram_used_gb,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,nvsmi_vram_used_gb_min,nvsmi_vram_used_gb_avg,nvsmi_vram_used_gb_max,nvsmi_vram_total_gb,data_wait_s,compute_s
15,summary,1.218276,0.646015,0.759327,0.848124,0.00048000,0.9,,,,,,,,,,,,,,21,39.5,58,8,14.0,20,44,47.0,50,109.6,110.4,111.2,2760.0,10801.0,30.0,0,9.8,29.2,48.6,29.15,29.15,29.15,63.16,0.0,0.27,0.54,0.0,8.91,17.82,0.751,0.879,1.757,1.76,1.757,15.992,0.21,0.56
16,1,,,,,,,14,6,44,108.6,2760,10801,30,0,53.7,29.16,0.0,0.0,1.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2,,,,,,,60,21,49,113.9,2760,10801,30,0,10.3,29.16,0.0,1.24,1.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,summary,1.102582,0.691675,0.663243,0.888381,0.00051200,0.8,,,,,,,,,,,,,,14,37.0,60,6,13.5,21,44,46.5,49,108.6,111.25,113.9,2760.0,10801.0,30.0,0,10.3,32.0,53.7,29.16,29.16,29.16,63.16,0.0,0.0,0.0,0.0,0.62,1.24,0.751,0.879,1.757,1.76,1.757,15.992,0.18,0.57
17,1,,,,,,,1,1,44,107.5,2760,10801,30,0,51.6,29.15,0.0,54.24,1.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2,,,,,,,59,19,49,112.5,2760,10801,30,0,9.6,29.15,0.0,0.0,1.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,summary,0.961800,0.757664,0.543801,0.934126,0.00054400,0.9,,,,,,,,,,,,,,1,30.0,59,1,10.0,19,44,46.5,49,107.5,110.0,112.5,2760.0,10801.0,30.0,0,9.6,30.6,51.6,29.15,29.15,29.15,63.16,0.0,0.0,0.0,0.0,27.12,54.24,0.751,0.879,1.757,1.76,1.757,15.992,0.2,0.57
18,1,,,,,,,2,1,44,107.0,2760,10801,30,0,48.8,29.16,0.0,0.0,1.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2,,,,,,,57,19,49,112.4,2760,10801,30,0,10.1,29.16,0.48,17.41,1.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,summary,0.845186,0.801710,0.492984,0.946020,0.00057600,0.8,,,,,,,,,,,,,,2,29.5,57,1,10.0,19,44,46.5,49,107.0,109.7,112.4,2760.0,10801.0,30.0,0,10.1,29.45,48.8,29.16,29.16,29.16,63.16,0.0,0.24,0.48,0.0,8.71,17.41,0.751,0.879,1.757,1.76,1.757,15.992,0.18,0.57
19,1,,,,,,,3,2,44,107.5,2760,10801,30,0,51.3,29.16,0.0,1.33,1.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2,,,,,,,59,20,49,112.9,2760,10801,30,0,11.7,29.14,0.0,14.94,1.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,summary,0.816149,0.812520,0.487512,0.947850,0.00060800,1.0,,,,,,,,,,,,,,3,31.0,59,2,11.0,20,44,46.5,49,107.5,110.2,112.9,2760.0,10801.0,30.0,0,11.7,31.5,51.3,29.14,29.15,29.16,63.16,0.0,0.0,0.0,1.33,8.13,14.94,0.751,0.879,1.757,1.76,1.757,15.992,0.23,0.64
20,1,,,,,,,6,2,45,111.4,2760,10801,30,0,47.8,29.15,0.0,0.0,1.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2,,,,,,,59,20,48,107.7,2760,10801,30,0,10.0,29.16,0.18,1.59,1.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,summary,0.756255,0.833011,0.468988,0.941446,0.00064000,0.9,,,,,,,,,,,,,,6,32.5,59,2,11.0,20,45,46.5,48,107.7,109.55,111.4,2760.0,10801.0,30.0,0,10.0,28.9,47.8,29.15,29.16,29.16,63.16,0.0,0.09,0.18,0.0,0.8,1.59,0.75,0.879,1.757,1.76,1.757,15.992,0.21,0.56
21,1,,,,,,,13,4,46,107.5,2760,10801,30,0,48.2,29.15,0.0,0.0,1.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2,,,,,,,60,21,48,113.3,2760,10801,30,0,12.5,29.14,0.11,4.12,1.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,summary,0.701986,0.853985,0.441317,0.956999,0.00067200,0.9,,,,,,,,,,,,,,13,36.5,60,4,12.5,21,46,47.0,48,107.5,110.4,113.3,2760.0,10801.0,30.0,0,12.5,30.35,48.2,29.14,29.14,29.15,63.16,0.0,0.06,0.11,0.0,2.06,4.12,0.75,0.879,1.757,1.76,1.757,15.992,0.19,0.57
22,1,,,,,,,12,3,46,109.1,2760,10801,30,0,48.9,29.13,0.0,53.12,1.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2,,,,,,,19,5,49,111.5,2760,10801,30,0,12.0,29.13,0.0,0.01,1.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,summary,0.663020,0.876412,0.454795,0.956084,0.00070400,0.9,,,,,,,,,,,,,,12,15.5,19,3,4.0,5,46,47.5,49,109.1,110.3,111.5,2760.0,10801.0,30.0,0,12.0,30.45,48.9,29.13,29.13,29.13,63.16,0.0,0.0,0.0,0.01,26.56,53.12,0.75,0.879,1.757,1.76,1.757,15.992,0.21,0.57
23,1,,,,,,,19,5,49,111.5,2760,10801,30,0,50.3,29.1,0.0,0.79,1.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2,,,,,,,51,15,51,111.3,2760,10801,30,0,12.3,29.09,0.0,15.62,1.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,summary,0.657580,0.871571,0.429528,0.958829,0.00073600,0.9,,,,,,,,,,,,,,19,35.0,51,5,10.0,15,49,50.0,51,111.3,111.4,111.5,2760.0,10801.0,30.0,0,12.3,31.3,50.3,29.09,29.09,29.1,63.16,0.0,0.0,0.0,0.79,8.21,15.62,0.75,0.879,1.757,1.76,1.757,15.992,0.2,0.57
24,1,,,,,,,51,15,51,111.3,2760,10801,30,0,49.6,29.1,0.0,0.0,1.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2,,,,,,,59,20,49,113.4,2760,10801,30,0,9.3,29.12,0.0,1.53,1.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,summary,0.629389,0.885124,0.430623,0.963403,0.00076800,0.9,,,,,,,,,,,,,,51,55.0,59,15,17.5,20,49,50.0,51,111.3,112.35,113.4,2760.0,10801.0,30.0,0,9.3,29.45,49.6,29.1,29.11,29.12,63.16,0.0,0.0,0.0,0.0,0.77,1.53,0.75,0.879,1.757,1.76,1.757,15.992,0.2,0.57
25,1,,,,,,,59,20,49,113.4,2760,10801,30,0,49.0,29.1,0.0,0.0,1.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2,,,,,,,54,17,50,116.1,2760,10801,30,0,13.2,29.09,0.0,0.49,1.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,summary,0.634890,0.883349,0.436418,0.956084,0.00080000,0.9,,,,,,,,,,,,,,54,56.5,59,17,18.5,20,49,49.5,50,113.4,114.75,116.1,2760.0,10801.0,30.0,0,13.2,31.1,49.0,29.09,29.09,29.1,63.16,0.0,0.0,0.0,0.0,0.24,0.49,0.75,0.879,1.757,1.76,1.757,15.992,0.19,0.62
26,1,,,,,,,14,6,44,113.0,2760,10801,30,0,51.8,29.06,0.0,49.02,1.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2,,,,,,,60,21,49,111.2,2760,10801,30,0,10.2,29.07,0.0,0.0,1.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,summary,0.625248,0.885124,0.406442,0.962489,0.00083200,0.9,,,,,,,,,,,,,,14,37.0,60,6,13.5,21,44,46.5,49,111.2,112.1,113.0,2760.0,10801.0,30.0,0,10.2,31.0,51.8,29.06,29.06,29.07,63.16,0.0,0.0,0.0,0.0,24.51,49.02,0.753,0.879,1.757,1.76,1.757,15.992,0.2,0.57
27,1,,,,,,,1,1,44,108.5,2760,10801,30,0,51.1,29.06,0.0,0.0,1.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2,,,,,,,57,20,51,112.0,2760,10801,30,0,11.5,29.04,0.0,17.06,1.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,summary,0.633964,0.888190,0.416017,0.958829,0.00086400,0.9,,,,,,,,,,,,,,1,29.0,57,1,10.5,20,44,47.5,51,108.5,110.25,112.0,2760.0,10801.0,30.0,0,11.5,31.3,51.1,29.04,29.05,29.06,63.16,0.0,0.0,0.0,0.0,8.53,17.06,0.753,0.879,1.757,1.76,1.757,15.992,0.19,0.58
28,1,,,,,,,1,1,45,108.7,2760,10801,30,0,51.1,29.03,0.0,0.0,1.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2,,,,,,,60,21,50,116.0,2760,10801,30,0,14.3,29.03,0.0,2.28,1.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,summary,0.643225,0.874314,0.408694,0.967978,0.00089600,0.9,,,,,,,,,,,,,,1,30.5,60,1,11.0,21,45,47.5,50,108.7,112.35,116.0,2760.0,10801.0,30.0,0,14.3,32.7,51.1,29.03,29.03,29.03,63.16,0.0,0.0,0.0,0.0,1.14,2.28,0.753,0.879,1.757,1.76,1.757,15.992,0.2,0.57
29,1,,,,,,,1,1,45,107.7,2760,10801,30,0,50.0,29.02,0.0,0.0,1.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2,,,,,,,59,20,51,114.5,2760,10801,30,0,11.4,29.03,0.0,3.69,1.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,summary,0.628617,0.884156,0.397423,0.970723,0.00092800,0.9,,,,,,,,,,,,,,1,30.0,59,1,10.5,20,45,48.0,51,107.7,111.1,114.5,2760.0,10801.0,30.0,0,11.4,30.7,50.0,29.02,29.02,29.03,63.16,0.0,0.0,0.0,0.0,1.84,3.69,0.753,0.879,1.757,1.76,1.757,15.992,0.2,0.58
30,1,,,,,,,4,2,45,107.9,2760,10801,30,0,48.9,29.03,0.0,53.25,1.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2,,,,,,,56,19,51,111.9,2760,10801,30,0,10.9,29.02,0.0,0.0,1.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,summary,0.601723,0.890449,0.407914,0.966148,0.00096000,0.9,,,,,,,,,,,,,,4,30.0,56,2,10.5,19,45,48.0,51,107.9,109.9,111.9,2760.0,10801.0,30.0,0,10.9,29.9,48.9,29.02,29.02,29.03,63.16,0.0,0.0,0.0,0.0,26.62,53.25,0.753,0.879,1.757,1.76,1.757,15.992,0.19,0.58
31,1,,,,,,,6,2,45,107.5,2760,10801,30,0,51.0,29.02,0.0,0.0,1.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2,,,,,,,59,21,49,114.6,2760,10801,30,0,13.0,29.03,0.0,15.27,1.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
