epoch,sample_point,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct,cuda_mem_util_pct,gpu_temp_c,gpu_power_w,gpu_clock_sm_mhz,gpu_clock_mem_mhz,gpu_fan_pct,gpu_throttled,cpu_pct,ram_used_gb,disk_read_mb_s,disk_write_mb_s,nvsmi_vram_used_gb,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,nvsmi_vram_used_gb_min,nvsmi_vram_used_gb_avg,nvsmi_vram_used_gb_max,nvsmi_vram_total_gb,data_wait_s,compute_s
25,1,,,,,,,6,2,46,87.1,2760,10801,30,0,65.5,28.34,0.0,33.48,2.392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2,,,,,,,6,2,46,87.1,2760,10801,30,0,11.1,28.34,0.0,0.0,2.392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,summary,0.320170,0.993546,0.308659,0.991766,0.00100000,0.6,,,,,,,,,,,,,,6,6.0,6,2,2.0,2,46,46.0,46,87.1,87.1,87.1,2760.0,10801.0,30.0,0,11.1,38.3,65.5,28.34,28.34,28.34,63.16,0.0,0.0,0.0,0.0,16.74,33.48,12.536,14.012,2.392,2.39,2.392,15.992,0.19,0.15
26,1,,,,,,,15,4,46,93.0,2760,10801,30,0,59.8,28.34,0.0,0.0,2.392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2,,,,,,,15,4,46,93.0,2760,10801,30,0,10.3,28.34,0.0,0.0,2.392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,summary,0.321483,0.992740,0.307561,0.992681,0.00100000,0.6,,,,,,,,,,,,,,15,15.0,15,4,4.0,4,46,46.0,46,93.0,93.0,93.0,2760.0,10801.0,30.0,0,10.3,35.05,59.8,28.34,28.34,28.34,63.16,0.0,0.0,0.0,0.0,0.0,0.0,12.536,14.012,2.392,2.39,2.392,15.992,0.2,0.14
27,1,,,,,,,3,1,46,85.7,2760,10801,30,0,58.9,28.34,0.0,28.66,2.392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2,,,,,,,3,1,46,85.7,2760,10801,30,0,9.3,28.34,0.0,0.0,2.392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,summary,0.322425,0.993062,0.306370,0.992681,0.00100000,0.6,,,,,,,,,,,,,,3,3.0,3,1,1.0,1,46,46.0,46,85.7,85.7,85.7,2760.0,10801.0,30.0,0,9.3,34.1,58.9,28.34,28.34,28.34,63.16,0.0,0.0,0.0,0.0,14.33,28.66,12.536,14.012,2.392,2.39,2.392,15.992,0.21,0.14
28,1,,,,,,,28,6,49,93.9,2760,10801,30,0,57.7,28.38,0.0,1.4,2.392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2,,,,,,,28,6,49,93.9,2760,10801,30,0,12.3,28.37,0.0,0.25,2.391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,summary,0.318204,0.994192,0.307674,0.993596,0.00100000,0.6,,,,,,,,,,,,,,28,28.0,28,6,6.0,6,49,49.0,49,93.9,93.9,93.9,2760.0,10801.0,30.0,0,12.3,35.0,57.7,28.37,28.38,28.38,63.16,0.0,0.0,0.0,0.25,0.82,1.4,12.536,14.012,2.391,2.39,2.392,15.992,0.2,0.14
29,1,,,,,,,5,3,47,92.0,2760,10801,30,0,62.6,28.37,0.0,37.72,2.394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2,,,,,,,34,12,46,86.3,2760,10801,30,0,13.8,28.35,0.0,0.4,2.394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,summary,0.321610,0.992094,0.307690,0.990851,0.00100000,0.6,,,,,,,,,,,,,,5,19.5,34,3,7.5,12,46,46.5,47,86.3,89.15,92.0,2760.0,10801.0,30.0,0,13.8,38.2,62.6,28.35,28.36,28.37,63.16,0.0,0.0,0.0,0.4,19.06,37.72,12.536,14.012,2.394,2.39,2.394,15.992,0.2,0.16
30,1,,,,,,,5,2,47,86.5,2760,10801,30,0,64.3,28.34,0.0,0.0,2.394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2,,,,,,,5,2,47,86.5,2760,10801,30,0,20.1,28.34,0.0,0.35,2.394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,summary,0.317815,0.993224,0.307991,0.994511,0.00100000,0.7,,,,,,,,,,,,,,5,5.0,5,2,2.0,2,47,47.0,47,86.5,86.5,86.5,2760.0,10801.0,30.0,0,20.1,42.2,64.3,28.34,28.34,28.34,63.16,0.0,0.0,0.0,0.0,0.17,0.35,12.536,14.012,2.394,2.39,2.394,15.992,0.21,0.15
31,1,,,,,,,2,1,46,92.0,2760,10801,30,0,63.4,28.34,0.0,35.43,2.394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2,,,,,,,67,25,49,88.0,2760,10801,30,0,17.0,28.34,0.0,0.23,2.391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
