epoch,sample_point,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct,cuda_mem_util_pct,gpu_temp_c,gpu_power_w,gpu_clock_sm_mhz,gpu_clock_mem_mhz,gpu_fan_pct,gpu_throttled,cpu_pct,ram_used_gb,disk_read_mb_s,disk_write_mb_s,nvsmi_vram_used_gb,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,nvsmi_vram_used_gb_min,nvsmi_vram_used_gb_avg,nvsmi_vram_used_gb_max,nvsmi_vram_total_gb,data_wait_s,compute_s
12,summary,0.509629,0.830285,0.512911,0.841393,0.00396379,3.1,,,,,,,,,,,,,,1,42.0,83,3,17.5,32,42,43.0,44,23.8,27.55,31.3,1410.0,5805.5,30.0,0,16.3,36.3,56.3,29.83,29.83,29.83,63.16,0.0,0.01,0.03,0.0,0.31,0.62,8.281,13.705,1.786,1.79,1.786,15.992,1.93,0.37
13,1,,,,,,,9,5,43,31.2,690,5001,30,0,58.9,29.82,0.0,2.25,1.794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2,,,,,,,9,5,43,31.2,690,5001,30,0,12.1,29.83,0.0,0.75,1.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,summary,0.488594,0.843789,0.408660,0.893360,0.00395092,3.5,,,,,,,,,,,,,,9,9.0,9,5,5.0,5,43,43.0,43,31.2,31.2,31.2,690.0,5001.0,30.0,0,12.1,35.5,58.9,29.82,29.82,29.83,63.16,0.0,0.0,0.0,0.75,1.5,2.25,8.281,13.705,1.794,1.81,1.825,15.992,2.18,0.34
14,1,,,,,,,2,2,43,31.9,810,5001,30,0,56.6,29.83,0.0,2.32,2.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2,,,,,,,2,2,43,31.9,810,5001,30,0,7.8,29.85,0.0,0.11,2.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,summary,0.471709,0.853510,0.445044,0.876153,0.00393507,3.4,,,,,,,,,,,,,,2,2.0,2,2,2.0,2,43,43.0,43,31.9,31.9,31.9,810.0,5001.0,30.0,0,7.8,32.2,56.6,29.83,29.84,29.85,63.16,0.0,0.0,0.0,0.11,1.21,2.32,8.281,13.705,2.032,2.04,2.058,15.992,2.19,0.24
15,1,,,,,,,2,2,42,30.7,510,5001,30,0,54.0,29.83,0.0,0.43,1.973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2,,,,,,,97,21,43,31.5,465,5001,30,0,6.1,29.83,0.13,16.29,1.973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,summary,0.454678,0.864970,0.569186,0.787553,0.00391705,3.4,,,,,,,,,,,,,,2,49.5,97,2,11.5,21,42,42.5,43,30.7,31.1,31.5,487.5,5001.0,30.0,0,6.1,30.05,54.0,29.83,29.83,29.83,63.16,0.0,0.07,0.13,0.43,8.36,16.29,8.281,13.705,1.973,1.97,1.973,15.992,2.12,0.33
